EP_id,Publications_in_venue,Original_Title,Country_of_Publication,ERIH_PLUS_Disciplines,disc_count
341662,58268,Brain Research,Netherlands,Psychology,1
472952,49052,International Journal of Environmental Research and Public Health,Switzerland,Environmental Studies,1
477519,31725,Frontiers in Psychology,Switzerland,Psychology,1
340401,18797,Applied Microbiology and Biotechnology,Germany,Interdisciplinary research in the Humanities,1
340411,18365,Physiology and Behavior,Netherlands,Psychology,1
343194,17469,Social Science and Medicine,Netherlands,Psychology,1
343115,17193,Psychopharmacology,Germany,Psychology,1
343707,15435,Experimental Brain Research,Germany,Psychology,1
343476,14981,Journal of Affective Disorders,Netherlands,Psychology,1
341795,14625,"Pharmacology, Biochemistry and Behavior",Netherlands,Psychology,1
342177,14046,Animal Behaviour,United Kingdom,Psychology,1
343622,13560,Behavioural Brain Research,Netherlands,Psychology,1
342510,13118,Vision Research,Netherlands,Psychology,1
341793,12985,Personality and Individual Differences,Netherlands,Psychology,1
341621,12724,Pain,Netherlands,Psychology,1
341882,12718,Behavioral and Brain Sciences,United Kingdom,"Linguistics, Psychology",2
341230,12452,Economics Letters,Netherlands,Economics,1
341830,12005,Schizophrenia Research,Netherlands,Psychology,1
341947,11872,Addiction,United Kingdom,Psychology,1
342812,11000,Acta Psychiatrica Scandinavica,United Kingdom,Psychology,1
343512,10080,Neuropsychologia,United Kingdom,Psychology,1
342715,9420,Quaternary International,Netherlands,Archaeology,1
442524,8954,Journal of Business Ethics,Netherlands,"Religious Studies and Theology, Philosophy",2
443965,8650,Journal of the Operational Research Society,United Kingdom,"Library and Information Science, Business and Management",2
341159,8438,Psychological Medicine,United Kingdom,Psychology,1
435330,8213,Medical Education,United Kingdom,Pedagogical & Educational Research,1
425478,7762,Journal of Adolescent Health,Netherlands,Psychology,1
342504,7640,World Development,United Kingdom,"Economics, Political Sciences and International Relations, Environmental Studies, Human Geography and Urban Studies",4
342926,7505,Synthese,Netherlands,"History & Philosophy of Science, Philosophy",2
341784,7502,Economic Journal,United Kingdom,"Business and Management, Economics",2
439429,7376,Computers in Human Behavior,Netherlands,"Psychology, Pedagogical & Educational Research",2
441984,7374,International Journal of Production Economics,Netherlands,"Science and Technology Studies, Business and Management, Economics",3
341737,7297,Journal of Epidemiology and Community Health,United Kingdom,"Economics, Psychology",2
340115,7297,Quaternary Science Reviews,Netherlands,Archaeology,1
343615,7205,Addictive Behaviours,United Kingdom,Psychology,1
425633,7015,Journal of Psychosomatic Research,Netherlands,Psychology,1
341539,6785,Scientometrics,Netherlands,Library and Information Science,1
340471,6562,Ergonomics,United Kingdom,Psychology,1
340705,6224,Antiquity,United Kingdom,"History, Anthropology, Archaeology, Art and Art History",4
340856,6210,Journal of Psychiatric Research,United Kingdom,Psychology,1
442447,6147,Journal of Archaeological Science,Netherlands,"Anthropology, Archaeology",2
342000,6079,Behavioral Ecology and Sociobiology,Germany,Psychology,1
444721,6049,Medical Teacher,United Kingdom,Pedagogical & Educational Research,1
340538,5990,Cortex,Italy,Psychology,1
341056,5890,International Journal of Child Abuse & Neglect,United Kingdom,Psychology,1
343080,5818,Behaviour Research and Therapy,Netherlands,Psychology,1
442778,5739,Journal of Economic Behavior and Organization,Netherlands,Psychology,1
443302,5362,Journal of Medical Ethics,United Kingdom,"Religious Studies and Theology, Philosophy",2
341027,5256,Social Indicators Research,Netherlands,Psychology,1
340610,5247,Perception,United Kingdom,Psychology,1
341779,5205,Journal of Child Psychology and Psychiatry,United Kingdom,Psychology,1
445118,5203,Neural Networks,Netherlands,Psychology,1
343298,5117,Economic Modelling,Netherlands,Economics,1
342082,5074,Philosophical Studies,Netherlands,Philosophy,1
340169,5063,Acta Psychologica,Netherlands,Psychology,1
342357,5057,Early Human Development,Netherlands,Psychology,1
340125,5046,AIDS Care,United Kingdom,Psychology,1
341098,4975,Journal of Marriage and Family,United Kingdom,Psychology,1
430165,4944,Cognition,Netherlands,"Linguistics, Psychology",2
343037,4878,Journal of Pragmatics,Netherlands,"Philosophy, Linguistics",2
439424,4841,Computers & Education,Netherlands,Pedagogical & Educational Research,1
