Discipline,Journal_count,Publication_count
Psychology,555,937127
Pedagogical & Educational Research,803,365255
History,858,255509
Business and Management,488,255328
Economics,566,247914
Linguistics,810,230000
Philosophy,507,189289
Political Sciences and International Relations,465,167416
Interdisciplinary research in the Social Sciences,878,161782
Sociology,461,126492
Environmental Studies,211,124424
Archaeology,271,114788
Anthropology,303,105811
Literature,633,101767
Interdisciplinary research in the Humanities,762,99342
Human Geography and Urban Studies,253,94180
History & Philosophy of Science,200,87237
Religious Studies and Theology,346,84524
Art and Art History,366,69875
Law,388,63585
Gender Studies,199,62966
Cultural Studies,517,61488
Science and Technology Studies,221,61459
Media Studies and Communication,316,60027
Classical Studies,158,42355
Library and Information Science,99,32263
Social Statistics and Informatics,128,24677
Demography,108,23165
Musicology,102,22746
Film and Theatre Studies,140,21024
