OC_omid,issn,EP_id,Publications_in_venue,Open Access
623041985,['0006-8993'],341662,58268,Unknown
64026276,['1660-4601'],472952,49052,True
61205305,['1664-1078'],477519,31725,True
65054328,"['0340-2118', '0171-1741', '0175-7598', '1432-0614']",340401,18797,Unknown
61010574,['0031-9384'],340411,18365,Unknown
66013973,['0277-9536'],343194,17469,Unknown
6307482,"['1432-2072', '0033-3158']",343115,17193,Unknown
61903008,"['0014-4819', '1432-1106']",343707,15435,Unknown
6808577,['0165-0327'],343476,14981,Unknown
6401254,['0091-3057'],341795,14625,Unknown
68025601,['0003-3472'],342177,14046,Unknown
62204296,['0166-4328'],343622,13560,Unknown
616038848,['0042-6989'],342510,13118,Unknown
67043489,['0191-8869'],341793,12985,Unknown
67017443,"['1872-6623', '0304-3959']",341621,12724,Unknown
615016934,"['1469-1825', '0140-525X']",341882,12718,Unknown
68047615,['0165-1765'],341230,12452,Unknown
6507689,['0920-9964'],341830,12005,Unknown
623014200,"['1360-0443', '0965-2140']",341947,11872,Unknown
619026442,"['1600-0447', '0001-690X']",342812,11000,Unknown
623052934,['0028-3932'],343512,10080,Unknown
61062988,['1040-6182'],342715,9420,Unknown
625030003,"['1573-0697', '0167-4544']",442524,8954,Unknown
612042650,"['1476-9360', '0160-5682']",443965,8650,Unknown
619035383,"['0033-2917', '1469-8978']",341159,8438,Unknown
616028761,"['1365-2923', '0308-0110']",435330,8213,Unknown
624028682,['1054-139X'],425478,7762,Unknown
625016740,['0305-750X'],342504,7640,Unknown
621044979,"['1573-0964', '0039-7857']",342926,7505,Unknown
625033069,"['0013-0133', '1468-0297']",341784,7502,Unknown
61901332,['0747-5632'],439429,7376,Unknown
61018476,['0925-5273'],441984,7374,Unknown
623012761,"['0143-005X', '1470-2738']",341737,7297,Unknown
65014611,['0277-3791'],340115,7297,Unknown
6609894,['0306-4603'],343615,7205,Unknown
623021472,['0022-3999'],425633,7015,Unknown
626055628,"['1588-2861', '0138-9130']",341539,6785,Unknown
626041652,"['1366-5847', '0014-0139']",340471,6562,Unknown
6304115,"['0003-598X', '1745-1744']",340705,6224,Unknown
622019292,['0022-3956'],340856,6210,Unknown
62047876,['0305-4403'],442447,6147,Unknown
612031572,"['1432-0762', '0340-5443']",342000,6079,Unknown
624023089,"['0142-159X', '1466-187X']",444721,6049,Unknown
6605663,['0010-9452'],340538,5990,Unknown
624049290,['0145-2134'],341056,5890,Unknown
68010724,['0005-7967'],343080,5818,Unknown
624030200,['0167-2681'],442778,5739,Unknown
66010032,"['1473-4257', '0306-6800']",443302,5362,Unknown
61307329,"['0303-8300', '1573-0921']",341027,5256,Unknown
61801255,"['1468-4233', '0301-0066']",340610,5247,Unknown
69027326,"['1469-7610', '0021-9630']",341779,5205,Unknown
62402893,['0893-6080'],445118,5203,Unknown
61706972,['0264-9993'],343298,5117,Unknown
619026276,"['0031-8116', '1573-0883']",342082,5074,Unknown
621019353,['0001-6918'],340169,5063,True
617018303,['0378-3782'],342357,5057,Unknown
613010044,"['1360-0451', '0954-0121']",340125,5046,Unknown
64064783,"['1741-3737', '0022-2445']",341098,4975,Unknown
62108471,['0010-0277'],430165,4944,Unknown
617018112,['0378-2166'],343037,4878,Unknown
64014196,['0360-1315'],439424,4841,Unknown
68010595,"['1573-2800', '0004-0002']",342145,4783,Unknown
6302658,['0167-8760'],340312,4750,Unknown
625059666,['0014-2921'],342624,4668,Unknown
66048602,['2158-2440'],477763,4648,True
612016315,"['1469-994X', '1462-2203']",445221,4613,Unknown
6404512,['0003-6870'],339932,4605,Unknown
622050842,['0376-6357'],470217,4572,Unknown
616051809,"['1057-9249', '1099-1611']",446213,4499,Unknown
65048354,"['0048-5829', '1573-7101']",341575,4458,Unknown
614020480,"['1045-2249', '1465-7279']",343536,4457,Unknown
624051678,['0261-5177'],341163,4447,Unknown
621032673,"['1471-0048', '1471-003X']",425568,4324,Unknown
623015315,"['0300-4430', '1476-8275']",440005,4251,Unknown
61023558,['0047-2727'],340670,4246,Unknown
67027316,"['1741-282X', '0018-7267']",342897,4238,Unknown
69043951,"['1460-2113', '0026-4423']",444849,4197,Unknown
623024295,"['0020-739X', '1464-5211']",441925,4197,Unknown
615018044,['0891-4222'],340337,4146,Unknown
69027571,"['1041-6102', '1741-203X']",442090,4142,Unknown
62034640,['0024-3841'],342283,4033,Unknown
65017321,"['1467-9620', '0161-4681']",447380,4011,Unknown
625032999,"['0013-0117', '1468-0289']",440058,3957,Unknown
626033882,"['0009-8388', '1471-6844']",439116,3889,Unknown
63035104,['0016-3287'],341994,3888,Unknown
64010392,['0048-7333'],340694,3860,Unknown
61502803,['0305-0483'],340553,3824,Unknown
621013608,['0742-051X'],429124,3813,Unknown
614044004,['0301-0511'],343251,3796,Unknown
618029949,"['1568-539X', '0005-7959']",438358,3789,Unknown
67018861,['0264-2751'],439100,3781,Unknown
62011759,"['1460-2229', '0263-2136']",340461,3740,Unknown
626049971,"['1499-2027', '1708-8186']",441763,3737,Unknown
619023463,['0959-4388'],342838,3736,Unknown
613021319,"['0964-2633', '1365-2788']",443130,3729,Unknown
618019582,"['0269-8811', '1461-7285']",443625,3687,Unknown
61308872,"['1467-6494', '0022-3506']",443509,3674,Unknown
614026277,['0740-5472'],341650,3657,Unknown
612023249,"['0179-1613', '1439-0310']",340243,3643,Unknown
613045151,['0160-7383'],340375,3627,Unknown
62040288,"['0039-3630', '2047-0584']",447256,3605,Unknown
619022136,"['1468-2346', '0020-5850']",342534,3603,Unknown
6707128,"['0958-5192', '1466-4399']",340676,3599,Unknown
61020044,"['0021-8782', '1469-7580']",340772,3598,Unknown
6302734,['0167-9236'],439794,3579,Unknown
614020502,"['0146-8693', '1465-735X']",443500,3450,Unknown
61013294,"['1467-937X', '0034-6527']",343614,3438,Unknown
61205447,['2075-4426'],499287,3398,True
619023565,['0007-070X'],340025,3389,Unknown
613036571,"['0018-1560', '1573-174X']",343702,3388,Unknown
626050004,['2352-409X'],485158,3379,Unknown
612046981,"['1423-0003', '0304-324X']",440955,3375,Unknown
613047722,['0304-3878'],413785,3367,Unknown
621010005,"['1477-0911', '0959-6836']",343675,3363,Unknown
6608490,"['1468-0335', '0013-0427']",343310,3318,Unknown
61807402,"['0141-9870', '1466-4356']",340584,3311,Unknown
62015419,"['1467-954X', '0038-0261']",447037,3309,Unknown
615027197,"['1359-1053', '1461-7277']",342588,3306,Unknown
619053273,"['1467-8284', '0003-2638']",437666,3263,Unknown
623031944,['0278-4319'],441873,3257,Unknown
63022586,"['1360-7863', '1364-6915']",437450,3248,Unknown
621064730,['0004-3702'],438112,3247,Unknown
614014078,"['0950-0693', '1464-5289']",442014,3241,Unknown
67015740,"['0736-5748', '1873-474X']",432030,3234,Unknown
611063330,"['0143-6597', '1360-2241']",342509,3226,Unknown
61805945,"['1743-9140', '0022-0388']",342528,3209,Unknown
614037942,"['0340-0727', '1430-2772', '0033-3026']",341581,3191,Unknown
62405665,"['1469-9451', '1369-183X']",442882,3180,Unknown
65020227,"['1477-4534', '0013-8266']",440248,3172,Unknown
6205349,"['0033-3190', '1423-0348']",340201,3163,Unknown
62409673,"['0143-2095', '1097-0266']",340591,3148,Unknown
622036161,['1361-9209'],447883,3144,Unknown
615016859,"['1095-9254', '0140-1971']",341743,3138,Unknown
65056513,['0304-3932'],443355,3130,Unknown
621036039,"['1467-9450', '0036-5564']",341840,3097,Unknown
6301367,"['0091-0627', '1573-2835']",435268,3093,Unknown
66036248,"['0003-4800', '1469-1809']",437780,3085,Unknown
62015527,"['0038-0385', '1469-8684']",416429,3035,Unknown
61603158,"['0305-1862', '1365-2214']",439029,3030,Unknown
611022768,"['1464-3502', '0735-0414']",340678,3026,Unknown
622017467,"['2044-8279', '0007-0998']",341461,3015,Unknown
616053156,"['1468-263X', '0045-3102']",438664,3009,Unknown
